Area,Perimeter,Diameter,Class
262224,2145.883476,577.818282,Berberis anhweiensis
262229,2120.829653,577.82379,Berberis anhweiensis
263981,2136.930158,579.75085,Berberis anhweiensis
266921,2189.29769,582.970302,Berberis anhweiensis
275528,2203.113924,592.294813,Berberis anhweiensis
275533,2249.942351,592.300187,Berberis anhweiensis
276186,2176.143361,593.001633,Berberis anhweiensis
277963,2219.574819,594.906281,Berberis anhweiensis
278061,2169.273303,595.011144,Berberis anhweiensis
279535,2188.243866,596.586135,Berberis anhweiensis
283601,2190.770778,600.909318,Berberis anhweiensis
283619,2187.214429,600.928387,Berberis anhweiensis
284553,2275.515944,601.917048,Berberis anhweiensis
285183,2203.356565,602.583001,Berberis anhweiensis
293411,2332.469263,611.213946,Berberis anhweiensis
295009,2246.594155,612.876109,Berberis anhweiensis
295217,2310.33427,613.092129,Berberis anhweiensis
297745,2341.356565,615.711546,Berberis anhweiensis
302402,2302.861182,620.508005,Berberis anhweiensis
302710,2292.368758,620.823922,Berberis anhweiensis
307102,2257.623592,625.311451,Berberis anhweiensis
309667,2313.866233,627.917407,Berberis anhweiensis
318933,2395.398195,637.242582,Berberis anhweiensis
320402,2327.304833,638.70846,Berberis anhweiensis
320753,2340.819551,639.058216,Berberis anhweiensis
320767,2382.518036,639.072163,Berberis anhweiensis
321514,2306.275395,639.815863,Berberis anhweiensis
322762,2287.790114,641.056427,Berberis anhweiensis
325474,2377.966738,643.744023,Berberis anhweiensis
326683,2394.802307,644.938535,Cercis chinensis
329343,2384.795165,647.558902,Cercis chinensis
336922,2437.179941,654.967491,Cercis chinensis
337142,2386.73629,655.181293,Cercis chinensis
341930,2366.9373,659.817246,Cercis chinensis
342251,2467.304833,660.126887,Cercis chinensis
356991,2500.978931,674.192152,Cercis chinensis
381311,2536.961687,696.778476,Cercis chinensis
386085,2569.020561,701.126729,Cercis chinensis
399086,2726.826694,712.833835,Cercis chinensis
414051,2680.96883,726.075827,Cercis chinensis
417094,2713.848989,728.739031,Cercis chinensis
418705,2729.589104,730.145029,Cercis chinensis
420067,2657.630735,731.331605,Cercis chinensis
422148,2760.383043,733.140865,Cercis chinensis
432550,2793.547473,742.118431,Cercis chinensis
436905,2806.660172,745.844973,Cercis chinensis
447403,2836.358657,754.752405,Cercis chinensis
451667,2884.584053,758.340481,Cercis chinensis
462175,2859.73124,767.11113,Cercis chinensis
478749,2868.015511,780.744618,Cercis chinensis
491096,2907.838887,790.748283,Cercis chinensis
607463,3248.456203,879.457738,Cercis chinensis
643460,3389.787156,905.140164,Cercis chinensis
746391,3802.418757,974.851033,Cercis chinensis
775853,3814.865366,993.904784,Cercis chinensis
284048,5203.976331,601.382695,Cercis chinensis
303380,6539.301367,621.51059,Cercis chinensis
334973,6156.223156,653.070341,Cercis chinensis
355970,7298.494367,673.227362,Cercis chinensis
361966,6725.59278,678.873644,Cercis chinensis
368138,7046.938018,684.637028,Cercis chinensis
372720,7474.785781,688.884492,Cercis chinensis
378703,7399.080154,694.391558,Cercis chinensis
384632,6572.480082,699.806168,Cercis chinensis
389951,6982.237441,704.628295,Cercis chinensis
397914,6368.306417,711.786373,Cercis chinensis
415820,7808.390904,727.625225,Cercis chinensis
426844,7732.487225,737.207339,Cercis chinensis
434846,7805.94011,744.085427,Cercis chinensis
437880,7775.13607,746.676725,Cercis chinensis
442237,7254.217239,750.382327,Cercis chinensis
447297,8235.628494,754.66299,Cercis chinensis
463010,7208.511611,767.803778,Cercis chinensis
470751,8349.618393,774.195575,Cercis chinensis
471086,8366.581813,774.470996,Cercis chinensis
480070,7236.70252,781.821021,Cercis chinensis
481079,8018.616301,782.642196,Cercis chinensis
482921,8154.758436,784.139091,Cercis chinensis
486516,9216.575895,787.052355,Cercis chinensis
487734,7909.111683,788.036938,Cercis chinensis
489022,7890.449778,789.07677,Cercis chinensis
492642,8845.189027,791.991967,Cercis chinensis
496158,8656.128061,794.813177,Cercis chinensis
501495,8798.537223,799.076508,Cercis chinensis
514924,7585.271063,809.704637,Cercis chinensis
519882,9046.887512,813.593462,Cercis chinensis
529061,8926.76262,820.74441,Cercis chinensis
530404,8214.966589,821.785463,Cercis chinensis
541015,9326.443861,829.964874,Cercis chinensis
584578,9660.198262,862.732767,Cercis chinensis
1091964,6989.439318,1179.123296,Cercis chinensis
1094623,6435.621859,1180.558042,Cercis chinensis
1095579,5897.41789,1181.073455,Cercis chinensis
1106097,6388.718539,1186.729304,Cercis chinensis
1111124,6635.012911,1189.422976,Cercis chinensis
1121034,6768.658439,1194.715372,Cercis chinensis
1123619,6335.789606,1196.09203,Cercis chinensis
349045,2964.303966,666.646756,Cercis chinensis
350832,2890.262336,668.351087,Cercis chinensis
354676,3155.188309,672.002611,Cercis chinensis
357879,3042.186217,675.030144,Cercis chinensis
561767,4647.77828,845.732794,Phoebe zhennan
567663,5266.846389,850.159385,Phoebe zhennan
587000,5006.035206,864.518139,Phoebe zhennan
589675,4933.702161,866.485735,Phoebe zhennan
593628,5084.076836,869.385211,Phoebe zhennan
611364,5138.478857,882.277066,Phoebe zhennan
631801,5316.16724,896.902457,Phoebe zhennan
652510,5126.721497,911.483151,Phoebe zhennan
667296,5369.373301,921.752491,Phoebe zhennan
667984,5251.959087,922.227545,Phoebe zhennan
690910,6054.299274,937.920004,Phoebe zhennan
694774,6003.429217,940.539064,Phoebe zhennan
267091,2818.299782,583.155917,Phoebe zhennan
276766,2844.792206,593.623968,Phoebe zhennan
286769,2477.287589,604.256263,Phoebe zhennan
298002,2872.684558,615.977216,Phoebe zhennan
313713,3134.331311,632.006169,Phoebe zhennan
316517,2561.201369,634.824354,Phoebe zhennan
319250,2980.851081,637.559193,Phoebe zhennan
320954,3030.833837,639.258418,Phoebe zhennan
334613,3162.879651,652.719315,Phoebe zhennan
344136,3201.880518,661.942266,Phoebe zhennan
353741,2947.946535,671.116256,Phoebe zhennan
358769,3414.833837,675.86898,Phoebe zhennan
359217,2846.858223,676.290832,Phoebe zhennan
384758,3322.331311,699.920782,Phoebe zhennan
394982,3288.556708,709.159151,Phoebe zhennan
396652,3056.764861,710.656747,Phoebe zhennan
397790,3172.456203,711.675459,Phoebe zhennan
415386,3377.260244,727.245407,Phoebe zhennan
427805,3368.88261,738.036749,Phoebe zhennan
431413,3576.516303,741.142423,Phoebe zhennan
433519,3606.367025,742.949214,Phoebe zhennan
435325,3307.309017,744.495134,Phoebe zhennan
437264,3338.051224,746.151336,Phoebe zhennan
454179,3216.906997,760.446358,Phoebe zhennan
469774,3345.375034,773.391773,Phoebe zhennan
472499,3540.776188,775.631621,Phoebe zhennan
476454,3352.061325,778.871025,Phoebe zhennan
479559,3659.90613,781.404814,Phoebe zhennan
482767,3441.191268,784.014053,Phoebe zhennan
494218,3556.301008,793.257777,Phoebe zhennan
494234,3572.720272,793.270618,Phoebe zhennan
511537,4036.418757,807.037259,Phoebe zhennan
511577,3784.433042,807.068812,Phoebe zhennan
516259,3697.188309,810.753584,Phoebe zhennan
519952,3357.683692,813.648233,Phoebe zhennan
543161,7039.020054,831.609322,Phoebe zhennan
546009,3681.129435,833.786694,Phoebe zhennan
548851,3589.656347,835.953825,Phoebe zhennan
555336,3605.708078,840.877967,Phoebe zhennan
566870,3690.075611,849.56536,Phoebe zhennan
581962,3854.835062,860.800228,Phoebe zhennan
582167,3501.423807,860.951826,Phoebe zhennan
585467,3870.097039,863.38852,Phoebe zhennan
586265,3617.413706,863.976725,Phoebe zhennan
586582,3717.379218,864.210274,Phoebe zhennan
587593,3700.945669,864.954706,Phoebe zhennan
599995,3881.753893,874.035103,Phoebe zhennan
601679,3792.349781,875.260816,Phoebe zhennan
476564,4528.174383,778.96093,Chimonanthus praecox
112823,2893.462479,379.012803,Chimonanthus praecox
115582,2826.565076,383.619047,Chimonanthus praecox
143189,3272.038164,426.982315,Chimonanthus praecox
156439,3166.748842,446.300707,Chimonanthus praecox
158002,2867.462479,448.524687,Chimonanthus praecox
180081,3268.1803,478.838439,Chimonanthus praecox
188627,3428.98434,490.068725,Chimonanthus praecox
188774,3427.812768,490.259647,Chimonanthus praecox
198225,3488.506202,502.382234,Chimonanthus praecox
198990,3378.682825,503.35071,Chimonanthus praecox
205252,3245.34473,511.209314,Chimonanthus praecox
205655,3430.873734,511.710933,Chimonanthus praecox
209532,3757.557067,516.511789,Chimonanthus praecox
213648,3450.623951,521.560238,Chimonanthus praecox
214745,3545.643287,522.897529,Chimonanthus praecox
218501,3653.466663,527.45058,Chimonanthus praecox
220764,3748.797616,530.174928,Chimonanthus praecox
221338,3620.25346,530.863725,Chimonanthus praecox
223325,3529.182392,533.241241,Chimonanthus praecox
223453,3653.934701,533.394034,Chimonanthus praecox
225910,3237.361974,536.318511,Chimonanthus praecox
226131,3459.636144,536.580778,Chimonanthus praecox
227030,3603.182392,537.646328,Chimonanthus praecox
228131,3624.780372,538.94843,Chimonanthus praecox
228955,3632.145812,539.920883,Chimonanthus praecox
229320,3612.09408,540.351082,Chimonanthus praecox
229953,3497.594514,541.096344,Chimonanthus praecox
231316,3544.721497,542.697594,Chimonanthus praecox
231791,3592.177341,543.254514,Chimonanthus praecox
234261,3519.626043,546.141345,Chimonanthus praecox
235805,3453.761036,547.938182,Chimonanthus praecox
236897,3472.440185,549.205452,Chimonanthus praecox
236977,3362.06551,549.298177,Chimonanthus praecox
237086,3584.915365,549.42449,Chimonanthus praecox
239775,3430.54069,552.531458,Chimonanthus praecox
240371,3399.552883,553.217735,Chimonanthus praecox
240688,3396.38131,553.582405,Chimonanthus praecox
241368,3420.94271,554.363854,Chimonanthus praecox
241635,3404.682825,554.670386,Chimonanthus praecox
242771,3382.523446,555.972695,Chimonanthus praecox
248304,3532.405697,562.272596,Chimonanthus praecox
248883,3705.224023,562.927773,Chimonanthus praecox
249328,3505.025971,563.430803,Chimonanthus praecox
250473,3568.638236,564.723055,Chimonanthus praecox
251600,3363.77828,565.992111,Chimonanthus praecox
254261,3631.224023,568.977293,Chimonanthus praecox
256489,3495.425033,571.46473,Chimonanthus praecox
258378,3582.430083,573.565242,Chimonanthus praecox
260886,3613.584412,576.342235,Chimonanthus praecox
265287,3518.364066,581.183189,Chimonanthus praecox
268625,3726.478857,584.828157,Chimonanthus praecox
271608,3555.41789,588.066362,Chimonanthus praecox
272387,3618.412839,588.909076,Chimonanthus praecox
272523,3723.449419,589.056076,Chimonanthus praecox
275644,3645.442277,592.419481,Chimonanthus praecox
277540,3740.922507,594.453449,Chimonanthus praecox
