color,bitterness,strength,beer_style
13.0,25.0,0.055,Lager
10.0,26.0,0.052,Lager
7.0,27.0,0.053,Lager
13.0,26.0,0.054,Lager
9.0,25.0,0.055,Lager
14.0,25.0,0.053,Lager
9.0,22.0,0.056,Lager
11.0,24.0,0.053,Lager
13.0,24.0,0.054,Lager
11.0,24.0,0.053,Lager
11.0,25.0,0.052,Lager
7.0,27.0,0.05,Lager
8.0,26.0,0.052,Lager
7.0,21.0,0.052,Lager
12.0,27.0,0.052,Lager
10.0,24.0,0.052,Lager
12.0,23.0,0.052,Lager
2.0,48.0,0.05,Pilsner
4.0,38.0,0.047,Pilsner
5.0,35.0,0.052,Pilsner
2.0,31.0,0.05,Pilsner
3.0,38.0,0.05,Pilsner
2.0,39.0,0.049,Pilsner
2.0,50.0,0.046,Pilsner
2.0,52.0,0.046,Pilsner
2.0,44.0,0.055,Pilsner
3.0,35.0,0.051,Pilsner
2.0,41.0,0.047,Pilsner
5.0,42.0,0.053,Pilsner
5.0,34.0,0.068,Pilsner
3.0,41.0,0.052,Pilsner
3.0,36.0,0.05,Pilsner
7.0,27.0,0.05,Pilsner
2.0,30.0,0.042,Pilsner
5.0,45.0,0.052,Pilsner
5.0,37.0,0.05,Pilsner
4.0,38.0,0.054,Pilsner
4.0,37.0,0.055,Pilsner
6.0,44.0,0.05,Pilsner
4.0,38.0,0.052,Pilsner
4.0,35.0,0.047,Pilsner
4.0,44.0,0.05,Pilsner
4.0,43.0,0.048,Pilsner
4.0,36.0,0.045,Pilsner
4.0,44.0,0.048,Pilsner
3.0,34.0,0.055,Pilsner
4.0,42.0,0.053,Pilsner
5.0,40.0,0.051,Pilsner
4.0,36.0,0.047,Pilsner
4.0,40.0,0.053,Pilsner
5.0,41.0,0.051,Pilsner
4.0,38.0,0.048,Pilsner
4.0,40.0,0.053,Pilsner
4.0,36.0,0.039,Pilsner
4.0,38.0,0.052,Pilsner
4.0,35.0,0.054,Pilsner
5.0,40.0,0.047,Pilsner
6.0,36.0,0.048,Pilsner
4.0,36.0,0.051,Pilsner
4.0,43.0,0.048,Pilsner
5.0,42.0,0.048,Pilsner
4.0,36.0,0.052,Pilsner
4.0,39.0,0.048,Pilsner
5.0,41.0,0.051,Pilsner
5.0,42.0,0.053,Pilsner
3.0,37.0,0.05,Pilsner
2.0,44.0,0.048,Pilsner
15.0,131.0,0.087,IPA
14.0,59.0,0.081,IPA
11.0,108.0,0.072,IPA
9.0,64.0,0.08,IPA
9.0,61.0,0.091,IPA
10.0,115.0,0.084,IPA
9.0,93.0,0.078,IPA
9.0,82.0,0.088,IPA
8.0,91.0,0.09,IPA
11.0,93.0,0.095,IPA
8.0,72.0,0.084,IPA
11.0,100.0,0.079,IPA
13.0,79.0,0.081,IPA
7.0,95.0,0.078,IPA
16.0,50.0,0.085,IPA
8.0,86.0,0.074,IPA
7.0,100.0,0.077,IPA
12.0,66.0,0.083,IPA
9.0,63.0,0.078,IPA
9.0,68.0,0.082,IPA
9.0,100.0,0.071,IPA
8.0,53.0,0.07,IPA
9.0,87.0,0.083,IPA
12.0,81.0,0.085,IPA
8.0,91.0,0.084,IPA
9.0,65.0,0.078,IPA
11.0,115.0,0.077,IPA
8.0,113.0,0.084,IPA
10.0,71.0,0.075,IPA
9.0,118.0,0.085,IPA
8.0,102.0,0.089,IPA
10.0,97.0,0.088,IPA
8.0,57.0,0.059,IPA
10.0,86.0,0.088,IPA
17.0,150.0,0.08,IPA
12.0,75.0,0.077,IPA
8.0,69.0,0.083,IPA
11.0,250.0,0.075,IPA
7.0,82.0,0.092,IPA
10.0,81.0,0.086,IPA
14.0,98.0,0.085,IPA
8.0,156.0,0.08,IPA
6.0,63.0,0.094,IPA
8.0,84.0,0.075,IPA
11.0,104.0,0.074,IPA
12.0,115.0,0.073,IPA
9.0,90.0,0.081,IPA
8.0,65.0,0.082,IPA
12.0,72.0,0.083,IPA
13.0,60.0,0.077,IPA
32.0,28.0,0.055,Stout
37.0,32.0,0.06,Stout
31.0,33.0,0.053,Stout
35.0,26.0,0.051,Stout
37.0,38.0,0.051,Stout
37.0,32.0,0.052,Stout
34.0,32.0,0.055,Stout
30.0,29.0,0.055,Stout
45.0,27.0,0.063,Stout
34.0,29.0,0.058,Stout
38.0,22.0,0.054,Stout
39.0,28.0,0.055,Stout
33.0,32.0,0.061,Stout
38.0,26.0,0.05,Stout
33.0,23.0,0.054,Stout
34.0,32.0,0.054,Stout
30.0,32.0,0.059,Stout
30.0,29.0,0.053,Stout
34.0,26.0,0.055,Stout
36.0,28.0,0.065,Stout
34.0,26.0,0.055,Stout
38.0,25.0,0.066,Stout
43.0,34.0,0.066,Stout
39.0,17.0,0.066,Stout
40.0,27.0,0.062,Stout
38.0,27.0,0.054,Stout
40.0,33.0,0.068,Stout
35.0,27.0,0.061,Stout
38.0,28.0,0.064,Stout
34.0,31.0,0.058,Stout
35.0,31.0,0.057,Stout
43.0,62.0,0.06,Stout
41.0,27.0,0.065,Stout
39.0,24.0,0.07,Stout
39.0,24.0,0.054,Stout
31.0,22.0,0.058,Stout
37.0,21.0,0.047,Stout
34.0,24.0,0.055,Stout
37.0,30.0,0.057,Stout
39.0,27.0,0.055,Stout
35.0,20.0,0.054,Stout
34.0,28.0,0.059,Stout
33.0,30.0,0.059,Stout
34.0,28.0,0.056,Stout
36.0,27.0,0.056,Stout
34.0,32.0,0.052,Stout
38.0,33.0,0.061,Stout
36.0,24.0,0.054,Stout
35.0,25.0,0.052,Stout
36.0,28.0,0.052,Stout
18.0,89.0,0.113,Barleywine
23.0,59.0,0.124,Barleywine
16.0,66.0,0.103,Barleywine
17.0,104.0,0.097,Barleywine
16.0,78.0,0.093,Barleywine
18.0,90.0,0.099,Barleywine
13.0,56.0,0.131,Barleywine
19.0,107.0,0.094,Barleywine
16.0,52.0,0.097,Barleywine
11.0,92.0,0.111,Barleywine
9.0,107.0,0.093,Barleywine
14.0,86.0,0.105,Barleywine
15.0,105.0,0.119,Barleywine
17.0,64.0,0.109,Barleywine
12.0,104.0,0.099,Barleywine
13.0,74.0,0.109,Barleywine
17.0,61.0,0.093,Barleywine
19.0,90.0,0.12,Barleywine
11.0,90.0,0.097,Barleywine
17.0,87.0,0.096,Barleywine
15.0,92.0,0.101,Barleywine
14.0,118.0,0.083,Barleywine
17.0,96.0,0.127,Barleywine
15.0,98.0,0.095,Barleywine
12.0,65.0,0.1,Barleywine
18.0,71.0,0.101,Barleywine
16.0,113.0,0.103,Barleywine
15.0,85.0,0.082,Barleywine
16.0,79.0,0.107,Barleywine
16.0,92.0,0.115,Barleywine
19.0,73.0,0.11,Barleywine
14.0,76.0,0.109,Barleywine
16.0,66.0,0.106,Barleywine
16.0,50.0,0.099,Barleywine
13.0,65.0,0.097,Barleywine
14.0,95.0,0.094,Barleywine
13.0,75.0,0.103,Barleywine
16.0,86.0,0.116,Barleywine
12.0,82.0,0.1,Barleywine
14.0,79.0,0.088,Barleywine
17.0,110.0,0.092,Barleywine
13.0,52.0,0.107,Barleywine
16.0,95.0,0.092,Barleywine
15.0,79.0,0.106,Barleywine
12.0,77.0,0.096,Barleywine
14.0,90.0,0.096,Barleywine
15.0,100.0,0.106,Barleywine
19.0,93.0,0.099,Barleywine
10.0,77.0,0.131,Barleywine
12.0,75.0,0.105,Barleywine
23.0,29.0,0.053,Porter
24.0,27.0,0.042,Porter
26.0,29.0,0.044,Porter
28.0,22.0,0.051,Porter
29.0,25.0,0.051,Porter
28.0,23.0,0.049,Porter
27.0,16.0,0.049,Porter
24.0,21.0,0.051,Porter
20.0,20.0,0.044,Porter
29.0,26.0,0.048,Porter
22.0,22.0,0.049,Porter
27.0,31.0,0.049,Porter
24.0,30.0,0.048,Porter
23.0,21.0,0.047,Porter
26.0,30.0,0.04,Porter
20.0,31.0,0.054,Porter
25.0,28.0,0.052,Porter
21.0,20.0,0.044,Porter
25.0,21.0,0.047,Porter
22.0,22.0,0.049,Porter
22.0,25.0,0.045,Porter
20.0,33.0,0.051,Porter
20.0,33.0,0.051,Porter
29.0,23.0,0.046,Porter
28.0,29.0,0.053,Porter
24.0,25.0,0.055,Porter
27.0,33.0,0.054,Porter
29.0,30.0,0.052,Porter
28.0,20.0,0.042,Porter
30.0,29.0,0.046,Porter
28.0,33.0,0.046,Porter
20.0,31.0,0.047,Porter
28.0,29.0,0.04,Porter
27.0,28.0,0.05,Porter
29.0,27.0,0.046,Porter
26.0,28.0,0.047,Porter
22.0,27.0,0.051,Porter
23.0,28.0,0.042,Porter
22.0,32.0,0.048,Porter
27.0,31.0,0.048,Porter
29.0,26.0,0.05,Porter
21.0,25.0,0.048,Porter
29.0,26.0,0.048,Porter
25.0,27.0,0.048,Porter
25.0,24.0,0.05,Porter
22.0,21.0,0.047,Porter
25.0,30.0,0.049,Porter
29.0,29.0,0.048,Porter
24.0,25.0,0.044,Porter
23.0,32.0,0.048,Porter
30.0,39.0,0.089,Belgian-Strong-Ale
30.0,39.0,0.089,Belgian-Strong-Ale
29.0,33.0,0.107,Belgian-Strong-Ale
29.0,32.0,0.1,Belgian-Strong-Ale
29.0,32.0,0.107,Belgian-Strong-Ale
29.0,47.0,0.092,Belgian-Strong-Ale
29.0,34.0,0.12,Belgian-Strong-Ale
29.0,31.0,0.12,Belgian-Strong-Ale
29.0,33.0,0.098,Belgian-Strong-Ale
29.0,33.0,0.102,Belgian-Strong-Ale
29.0,35.0,0.104,Belgian-Strong-Ale
29.0,38.0,0.091,Belgian-Strong-Ale
29.0,33.0,0.092,Belgian-Strong-Ale
29.0,35.0,0.105,Belgian-Strong-Ale
29.0,37.0,0.101,Belgian-Strong-Ale
29.0,33.0,0.094,Belgian-Strong-Ale
29.0,31.0,0.091,Belgian-Strong-Ale
29.0,40.0,0.092,Belgian-Strong-Ale
29.0,37.0,0.103,Belgian-Strong-Ale
29.0,31.0,0.102,Belgian-Strong-Ale
29.0,32.0,0.097,Belgian-Strong-Ale
29.0,35.0,0.091,Belgian-Strong-Ale
29.0,33.0,0.136,Belgian-Strong-Ale
28.0,32.0,0.099,Belgian-Strong-Ale
28.0,39.0,0.106,Belgian-Strong-Ale
28.0,31.0,0.089,Belgian-Strong-Ale
28.0,33.0,0.119,Belgian-Strong-Ale
28.0,34.0,0.088,Belgian-Strong-Ale
28.0,36.0,0.102,Belgian-Strong-Ale
28.0,32.0,0.093,Belgian-Strong-Ale
28.0,33.0,0.089,Belgian-Strong-Ale
28.0,39.0,0.089,Belgian-Strong-Ale
28.0,35.0,0.089,Belgian-Strong-Ale
28.0,38.0,0.091,Belgian-Strong-Ale
28.0,33.0,0.12,Belgian-Strong-Ale
27.0,33.0,0.113,Belgian-Strong-Ale
28.0,37.0,0.094,Belgian-Strong-Ale
28.0,41.0,0.103,Belgian-Strong-Ale
27.0,38.0,0.087,Belgian-Strong-Ale
27.0,40.0,0.092,Belgian-Strong-Ale
27.0,32.0,0.105,Belgian-Strong-Ale
27.0,34.0,0.106,Belgian-Strong-Ale
27.0,32.0,0.13,Belgian-Strong-Ale
27.0,31.0,0.092,Belgian-Strong-Ale
27.0,38.0,0.114,Belgian-Strong-Ale
27.0,31.0,0.107,Belgian-Strong-Ale
27.0,44.0,0.096,Belgian-Strong-Ale
27.0,32.0,0.092,Belgian-Strong-Ale
27.0,30.0,0.082,Belgian-Strong-Ale
20.0,25.0,0.107,Belgian-Strong-Ale
